TaskID,ExecutionRegion,StartHour,FinishHour,TaskType,GPU_Demand,EstimatedDuration_min
10317,RegionE,2373,2377.8333333333335,RealTimeInference,2,290
17782,RegionF,2372,2376.1833333333334,RealTimeInference,2,251
19061,RegionF,2375,2380.0833333333335,RealTimeInference,1,305
31492,RegionA,2375,2380.9666666666667,RealTimeInference,4,358
4670,RegionA,2373,2377.9333333333334,RealTimeInference,2,296
48150,RegionB,2374,2376.9333333333334,RealTimeInference,6,176
17253,RegionA,2375,2376.9,RealTimeInference,1,114
6693,RegionB,2373,2377.616666666667,RealTimeInference,7,277
20826,RegionA,2371,2377.616666666667,RealTimeInference,4,397
614,RegionC,2373,2378.5833333333335,RealTimeInference,5,335
15509,RegionB,2374,2379.5833333333335,RealTimeInference,3,335
43374,RegionB,2372,2378.5833333333335,RealTimeInference,1,395
17142,RegionB,2373,2378.55,RealTimeInference,3,333
49666,RegionC,2373,2378.4666666666667,RealTimeInference,2,328
11182,RegionC,2371,2376.4333333333334,RealTimeInference,1,326
28392,RegionB,2372,2378.4166666666665,RealTimeInference,6,385
22150,RegionC,2375,2377.4166666666665,RealTimeInference,4,145
30183,RegionB,2375,2378.4,RealTimeInference,2,204
45057,RegionA,2371,2376.3333333333335,RealTimeInference,2,320
49763,RegionB,2374,2378.2166666666667,RealTimeInference,2,253
9254,RegionC,2373,2379.1666666666665,RealTimeInference,2,370
43695,RegionB,2371,2376.133333333333,RealTimeInference,6,308
35506,RegionA,2375,2380.0333333333333,BatchInference,11,302
28324,RegionA,2375,2378.9333333333334,BatchInference,20,236
38628,RegionF,2373,2378.8,BatchInference,9,348
4971,RegionF,2375,2378.366666666667,BatchInference,7,202
37934,RegionA,2371,2377.233333333333,BatchInference,12,374
38190,RegionA,2373,2377.2,BatchInference,18,252
10640,RegionA,2375,2376.116666666667,BatchInference,6,67
535,RegionE,2375,2381.3333333333335,AITraining,22,380
21651,RegionE,2375,2381.0333333333333,BatchInference,16,362
8931,RegionD,2374,2380.3333333333335,BatchInference,9,380
44039,RegionE,2374,2380.0333333333333,BatchInference,12,362
37566,RegionB,2374,2379.75,AITraining,24,345
46065,RegionE,2374,2379.6,AITraining,78,336
45382,RegionE,2375,2379.5666666666666,AITraining,24,274
47274,RegionA,2374,2378.9,AITraining,35,294
6106,RegionF,2373,2378.7,AITraining,36,342
8623,RegionD,2374,2378.616666666667,BatchInference,10,277
22087,RegionB,2372,2378.3,BatchInference,12,378
27744,RegionE,2374,2378.15,AITraining,87,249
35185,RegionB,2375,2378.0,AITraining,95,180
23200,RegionF,2374,2377.6666666666665,AITraining,37,220
25277,RegionD,2373,2377.4333333333334,BatchInference,15,266
7983,RegionC,2371,2377.0833333333335,AITraining,95,365
21631,RegionF,2371,2377.016666666667,AITraining,31,361
49133,RegionC,2375,2376.9166666666665,BatchInference,4,115
25368,RegionD,2373,2376.8166666666666,AITraining,89,229
41084,RegionD,2372,2376.6,AITraining,70,276
20402,RegionD,2371,2376.5666666666666,AITraining,119,334
18108,RegionD,2371,2376.5333333333333,BatchInference,23,332
3763,RegionE,2373,2376.4666666666667,BatchInference,17,208
31067,RegionB,2372,2376.4333333333334,BatchInference,7,266
6706,RegionC,2375,2376.4166666666665,BatchInference,4,85
6812,RegionE,2374,2376.4,AITraining,87,144
43137,RegionB,2372,2376.35,BatchInference,18,261
11826,RegionF,2373,2376.233333333333,AITraining,127,194
17234,RegionC,2374,2376.0833333333335,BatchInference,5,125
