,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95
,RegionA__AITraining,RegionA__BatchInference,RegionA__RealTimeInference,RegionB__AITraining,RegionB__BatchInference,RegionB__RealTimeInference,RegionC__AITraining,RegionC__BatchInference,RegionC__RealTimeInference,RegionD__AITraining,RegionD__BatchInference,RegionD__RealTimeInference,RegionE__AITraining,RegionE__BatchInference,RegionE__RealTimeInference,RegionF__AITraining,RegionF__BatchInference,RegionF__RealTimeInference,RegionA__AITraining,RegionA__BatchInference,RegionA__RealTimeInference,RegionB__AITraining,RegionB__BatchInference,RegionB__RealTimeInference,RegionC__AITraining,RegionC__BatchInference,RegionC__RealTimeInference,RegionD__AITraining,RegionD__BatchInference,RegionD__RealTimeInference,RegionE__AITraining,RegionE__BatchInference,RegionE__RealTimeInference,RegionF__AITraining,RegionF__BatchInference,RegionF__RealTimeInference,RegionA__AITraining,RegionA__BatchInference,RegionA__RealTimeInference,RegionB__AITraining,RegionB__BatchInference,RegionB__RealTimeInference,RegionC__AITraining,RegionC__BatchInference,RegionC__RealTimeInference,RegionD__AITraining,RegionD__BatchInference,RegionD__RealTimeInference,RegionE__AITraining,RegionE__BatchInference,RegionE__RealTimeInference,RegionF__AITraining,RegionF__BatchInference,RegionF__RealTimeInference,RegionA__AITraining,RegionA__BatchInference,RegionA__RealTimeInference,RegionB__AITraining,RegionB__BatchInference,RegionB__RealTimeInference,RegionC__AITraining,RegionC__BatchInference,RegionC__RealTimeInference,RegionD__AITraining,RegionD__BatchInference,RegionD__RealTimeInference,RegionE__AITraining,RegionE__BatchInference,RegionE__RealTimeInference,RegionF__AITraining,RegionF__BatchInference,RegionF__RealTimeInference,RegionA__AITraining,RegionA__BatchInference,RegionA__RealTimeInference,RegionB__AITraining,RegionB__BatchInference,RegionB__RealTimeInference,RegionC__AITraining,RegionC__BatchInference,RegionC__RealTimeInference,RegionD__AITraining,RegionD__BatchInference,RegionD__RealTimeInference,RegionE__AITraining,RegionE__BatchInference,RegionE__RealTimeInference,RegionF__AITraining,RegionF__BatchInference,RegionF__RealTimeInference
2376,0.0,11.0,3.0,0.0,26.0,11.0,0.0,0.0,7.0,119.0,10.0,0.0,111.0,34.0,0.0,124.0,17.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,151.0,17.0,0.0,110.0,7.0,0.0,114.0,8.0,0.0,122.0,51.0,22.0,126.0,51.0,20.0,122.0,43.0,18.0,381.0,52.0,6.0,315.0,39.0,6.0,322.0499999999997,37.0,6.0
2377,0.0,35.0,20.0,0.0,4.0,6.0,110.0,0.0,4.0,209.0,0.0,0.0,321.0,55.0,5.0,321.0,0.0,2.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,13.0,6.0,153.5,16.0,0.0,107.0,8.0,0.0,111.0,8.0,0.0,124.0,52.0,23.0,121.0,51.0,21.0,122.0,45.0,19.0,391.0499999999997,53.0,6.0,314.0,39.0,7.0,318.0499999999997,39.0,6.0
2378,0.0,0.0,8.0,0.0,18.0,5.0,17.0,21.0,0.0,147.0,23.0,0.0,335.0,42.0,2.0,296.0,9.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.5,152.5,17.0,0.0,104.5,8.0,0.0,102.0,7.0,0.0,121.04999999999973,52.0,22.0,121.0,51.0,20.0,119.04999999999973,44.0,18.0,390.0,52.0,6.0,312.0,40.0,6.0,309.0499999999997,38.0,6.0
2379,0.0,38.0,5.0,0.0,15.0,1.0,0.0,28.0,0.0,374.0,14.0,6.0,70.0,0.0,0.0,102.0,9.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,150.0,17.0,0.0,106.0,9.0,0.0,108.0,7.0,0.0,121.0,50.0,23.0,120.0,50.0,21.0,122.0,45.0,18.0,388.0499999999997,52.04999999999973,6.0,318.0,39.0,7.0,313.0,37.0,6.0
2380,122.0,0.0,0.0,142.0,19.0,9.0,0.0,22.0,12.0,83.0,22.0,0.0,73.0,20.0,0.0,329.0,16.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,155.0,17.0,0.0,105.0,8.0,0.0,110.0,7.0,0.0,120.0,51.0,23.0,122.04999999999973,52.0,21.0,122.0,43.0,19.0,392.0499999999997,51.0,6.0,311.0499999999997,40.0,7.0,313.0,38.0,6.0
2381,0.0,43.0,7.0,71.0,4.0,7.0,68.0,37.0,12.0,178.0,0.0,0.0,161.0,7.0,0.0,191.0,0.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,16.0,7.0,0.0,12.0,6.0,155.0,17.0,0.0,106.0,9.0,0.0,111.0,8.0,0.0,122.0,51.0,23.0,124.0,51.0,20.0,120.04999999999973,43.0,19.0,393.0499999999997,53.0,6.0,311.0,39.0,7.0,325.0499999999997,38.0,6.0
2382,0.0,19.0,1.0,0.0,8.0,7.0,67.0,19.0,13.0,91.0,19.0,7.0,0.0,23.0,6.0,180.0,0.0,1.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,154.0,17.0,0.0,104.0,9.0,0.0,109.0,7.0,0.0,119.0,51.0,23.0,122.0,51.0,20.049999999999727,119.0,44.0,18.0,385.09999999999945,54.0,6.0,319.0,39.0,7.0,305.0,38.0,6.0
2383,0.0,25.0,17.0,0.0,33.0,9.0,0.0,0.0,2.0,112.0,17.0,0.0,286.0,14.0,0.0,159.0,0.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,13.0,6.0,156.0,16.0,0.0,104.0,8.0,0.0,110.0,8.0,0.0,121.0,52.0,23.0,125.0,52.0,20.0,122.0,44.0,18.0,387.0,50.04999999999973,6.0,324.0,39.0,7.0,313.0499999999997,38.0,6.0
2384,0.0,0.0,12.0,78.0,0.0,7.0,0.0,17.0,6.0,68.0,6.0,0.0,153.0,6.0,4.0,179.0,0.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,17.0,7.0,0.0,12.0,6.0,153.0,16.0,0.0,105.0,9.0,0.0,109.0,7.0,0.0,121.04999999999973,52.0,23.0,121.0,51.0,20.0,120.0,43.0,18.0,387.0,53.0,6.0,312.0,40.0,7.0,317.09999999999945,38.0,6.0
