model,MAE,RMSE,WAPE,RMSE_std,Max_Regret,Mean_Regret,Under_Q95,Under_Max
compound_poisson,26.350709534768132,50.82166389821386,0.7653849625677418,3.68698653093828,0.08157240234339724,0.020017115489455506,83.00171721016291,502.4932065217391
history_mean,26.350709534768132,50.82166389821386,0.7653849625677418,3.68698653093828,0.08157240234339724,0.020017115489455506,83.00171721016291,502.4932065217391
ewma_0.003,26.480380113445403,50.87634832214633,0.7691897487328815,3.6463655856577315,0.20715791228591485,0.07470153942191438,82.28561967971987,498.38419292182607
ewma_0.01,26.497940075172636,50.913480123074514,0.7697628074208535,3.6873877992332997,0.2554476419722391,0.11183334035010617,81.86635879698089,501.7613453669155
window_168,26.46977651014109,50.928745407083525,0.768952703107206,3.6805242839429404,0.3174081695488482,0.12709862435911656,82.18296130952379,501.30357142857144
window_336,26.549692735890652,50.93967322351209,0.7712190019891708,3.6299407623260036,0.38933636707962194,0.13802644078768012,82.0155319940476,496.08333333333337
window_72,26.551802019032923,51.10647983975543,0.7714191020466912,3.815290202380688,0.7594091477157221,0.30483305703102026,81.67092013888885,516.0972222222222
ewma_0.03,26.59297520646311,51.15073612511734,0.7725491525017916,3.73267964043209,0.7255338809104614,0.34908934239292844,81.58835551611246,511.50887321745364
lag168,33.571469907407405,68.34493262470464,0.9747750663575405,5.054790989095227,20.03879031082937,17.543285841980236,102.86249999999994,625.0
lag24,34.175636574074076,71.20266101667727,0.9949511347147464,3.6982209044164263,25.067830782618742,20.40101423395285,107.35624999999996,639.0
