SourceRegion,TaskType,tasks,gpu_sum,gpuh_sum
RegionA,AITraining,879,63070,214319.28333333333
RegionA,BatchInference,3331,45066,154341.45
RegionA,RealTimeInference,5852,23585,79791.71666666666
RegionB,AITraining,871,62551,212294.63333333333
RegionB,BatchInference,3312,44274,151260.43333333332
RegionB,RealTimeInference,5017,19989,67203.08333333333
RegionC,AITraining,815,58899,198331.96666666667
RegionC,BatchInference,2523,34710,117897.36666666667
RegionC,RealTimeInference,4221,17015,58704.95
RegionD,AITraining,5726,407683,1387122.6833333333
RegionD,BatchInference,3346,45291,155177.2
RegionD,RealTimeInference,488,1993,6558.55
RegionE,AITraining,4091,292000,978535.1166666667
RegionE,BatchInference,2172,29548,100158.33333333333
RegionE,RealTimeInference,649,2628,9054.766666666666
RegionF,AITraining,4177,296143,1032935.0333333333
RegionF,BatchInference,2033,27173,90263.01666666666
RegionF,RealTimeInference,497,1996,6837.066666666667
