Region,AnchorStrategy,AnchorStrategy_CN,ElectricityCost_CNY,CarbonEmission_tCO2,PeakNetGridImport_MW,TotalAbsRamp_MW
RegionA,cost_min,成本最优,0.0,0.0,0.0,0.0
RegionA,carbon_min,碳排最优,0.0,0.0,0.0,0.0
RegionA,peak_min,削峰最优,0.0,0.0,0.0,0.0
RegionA,smooth_min,平滑最优,0.0,0.0,0.0,0.0
RegionB,cost_min,成本最优,0.0,0.0,0.0,0.0
RegionB,carbon_min,碳排最优,0.0,0.0,0.0,0.0
RegionB,peak_min,削峰最优,0.0,0.0,0.0,0.0
RegionB,smooth_min,平滑最优,0.0,0.0,0.0,0.0
RegionC,cost_min,成本最优,0.0,0.0,0.0,0.0
RegionC,carbon_min,碳排最优,0.0,0.0,0.0,0.0
RegionC,peak_min,削峰最优,0.0,0.0,0.0,0.0
RegionC,smooth_min,平滑最优,0.0,0.0,0.0,0.0
RegionD,cost_min,成本最优,-142783279.05721724,0.0,0.0,0.0013786781746603083
RegionD,carbon_min,碳排最优,-142783279.05721724,0.0,0.0,0.0013786781746603083
RegionD,peak_min,削峰最优,-142783279.05721724,0.0,0.0,0.0013786781746603083
RegionD,smooth_min,平滑最优,-142783279.05721724,0.0,0.0,0.0003446237859066059
RegionE,cost_min,成本最优,-154169381.04785803,0.0,0.0,427.4622671755074
RegionE,carbon_min,碳排最优,-154169345.94681218,0.0,0.0,427.84580133034393
RegionE,peak_min,削峰最优,-154169350.39839622,0.0,0.0,427.79716077054087
RegionE,smooth_min,平滑最优,-135679560.72837564,0.0,0.0,0.0006778581317519183
RegionF,cost_min,成本最优,-162265113.58395943,0.0,0.0,545.762697566842
RegionF,carbon_min,碳排最优,-162265063.64273444,0.0,0.0,546.2810827130415
RegionF,peak_min,削峰最优,-162265055.28682175,0.0,0.0,546.3678162889696
RegionF,smooth_min,平滑最优,-143765977.28939885,0.0,0.0,0.0007976068785637835
