Scenario,Scenario_CN,Hour,Region,FacilityLoad_MW,AvailableRenewable_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,GridPurchase_MW,GridSell_MW,NetGridImport_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,Curtailment_MW,RenewableUsedTotal_MW,DirectRenewable_MW,RenewableCharge_MW,GridCharge_MW
attachment_baseline,附件参考策略,0,RegionA,499.14900044995505,540.19,468.0,0.0,0.6679,457.2511,0.0,457.2511,73.0,0.0,225.39,425.2921,114.89790000000005,59.8979,55.0,18.0
attachment_baseline,附件参考策略,1,RegionA,535.4235,587.87,468.31,0.0,0.6703,489.1727,0.0,489.1727,73.0,0.0,293.28,468.6192,119.25080000000003,64.2508,55.0,18.0
attachment_baseline,附件参考策略,2,RegionA,544.32,650.0,468.61,0.0,0.6693,497.0016,0.0,497.0016,60.9892,0.0,350.0,541.6924,108.30759999999998,65.3184,42.9892,18.0
attachment_baseline,附件参考策略,3,RegionA,544.32,722.35,468.91,0.0,0.665,479.0016,0.0,479.0016,0.0,0.0,350.0,657.0316,65.3184,65.3184,0.0,0.0
attachment_baseline,附件参考策略,4,RegionA,544.319999550045,800.0,469.22,0.0,0.6578,479.0016,0.0,479.0016,0.0,0.0,350.0,734.6816,65.3184,65.3184,0.0,0.0
attachment_baseline,附件参考策略,5,RegionA,544.32,877.65,469.52,0.0,0.6483,479.0016,0.0,479.0016,0.0,0.0,350.0,812.3316,65.3184,65.3184,0.0,0.0
attachment_baseline,附件参考策略,6,RegionA,544.320000449955,950.0,469.82,0.0,0.637,479.0016,0.0,479.0016,0.0,0.0,350.0,884.6816,65.3184,65.3184,0.0,0.0
attachment_baseline,附件参考策略,7,RegionA,544.320000449955,1012.13,723.26,0.0,0.6248,479.0016,0.0,479.0016,0.0,0.0,350.0,946.8116,65.3184,65.3184,0.0,0.0
attachment_baseline,附件参考策略,8,RegionA,544.32,1059.81,723.71,0.0,0.6126,479.0016,0.0,479.0016,0.0,0.0,350.0,994.4916,65.3184,65.3184,0.0,0.0
attachment_baseline,附件参考策略,9,RegionA,544.319999550045,1089.78,724.16,0.0,0.6013,474.7752,0.0,474.7752,0.0,0.0,350.0,1020.2352,69.54480000000001,69.5448,0.0,0.0
attachment_baseline,附件参考策略,10,RegionA,531.7110004499551,1100.0,724.61,0.0,0.5917,459.93,0.0,459.93,0.0,0.0,350.0,1028.219,71.78099999999995,71.781,0.0,0.0
attachment_baseline,附件参考策略,11,RegionA,506.1015,1089.78,725.04,0.0,0.5845,434.6333,0.0,434.6333,0.0,0.0,350.0,1018.3118,71.46820000000002,71.4682,0.0,0.0
attachment_baseline,附件参考策略,12,RegionA,466.47899955004505,1059.81,725.48,0.0,0.5802,398.382,0.0,398.382,0.0,0.0,350.0,991.713,68.09699999999998,68.097,0.0,0.0
attachment_baseline,附件参考策略,13,RegionA,443.66670000000005,1012.13,725.9,0.0,0.5791,377.5702,0.0,377.5702,0.0,0.0,350.0,946.0335,66.09649999999999,66.0965,0.0,0.0
attachment_baseline,附件参考策略,14,RegionA,423.08729955004503,950.0,726.32,0.0,0.5814,359.6242,0.0,359.6242,0.0,0.0,350.0,886.5369,63.463100000000054,63.4631,0.0,0.0
attachment_baseline,附件参考策略,15,RegionA,379.06649999999996,877.65,726.74,0.0,0.5869,322.594,0.0,322.594,0.0,0.0,350.0,821.1775,56.47249999999997,56.4725,0.0,0.0
attachment_baseline,附件参考策略,16,RegionA,334.04399955004504,800.0,727.14,0.0,0.5954,285.28,0.0,285.28,0.0,0.0,350.0,751.236,48.76400000000001,48.764,0.0,0.0
attachment_baseline,附件参考策略,17,RegionA,316.91249955004497,722.35,1054.92,0.0,0.6062,227.1603,0.0,227.1603,0.0,45.0,301.087,677.5978,44.752200000000016,44.7522,0.0,0.0
attachment_baseline,附件参考策略,18,RegionA,299.443499550045,650.0,1055.49,0.0,0.6188,214.0186,0.0,214.0186,0.0,45.0,252.1739,609.5751,40.42489999999998,40.4249,0.0,0.0
attachment_baseline,附件参考策略,19,RegionA,386.49149955004503,587.87,1056.03,0.0,0.6321,292.1116,0.0,292.1116,0.0,45.0,203.2609,538.4901,49.37990000000002,49.3799,0.0,0.0
attachment_baseline,附件参考策略,20,RegionA,330.884999550045,540.19,1056.56,0.0,0.6455,246.1788,0.0,246.1788,0.0,45.0,154.3478,500.4838,39.70620000000008,39.7062,0.0,0.0
attachment_baseline,附件参考策略,21,RegionA,376.12350000000004,510.22,1057.08,0.0,0.658,285.9887,0.0,285.9887,0.0,45.0,105.4348,465.0852,45.13480000000004,45.1348,0.0,0.0
attachment_baseline,附件参考策略,22,RegionA,388.00349955004503,500.0,656.43,0.0,0.6687,341.4431,0.0,341.4431,54.4127,0.0,156.0386,399.0268,100.97320000000002,46.5604,54.4127,0.0
attachment_baseline,附件参考策略,23,RegionA,408.92849955004505,510.22,656.73,0.0,0.6771,359.8571,0.0,359.8571,55.0,0.0,207.1886,406.1486,104.07140000000004,49.0714,55.0,0.0
