Scenario,Scenario_CN,Hour,Region,FacilityLoad_MW,AvailableRenewable_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,GridPurchase_MW,GridSell_MW,NetGridImport_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,Curtailment_MW,RenewableUsedTotal_MW,DirectRenewable_MW,RenewableCharge_MW,GridCharge_MW
balanced,多目标折中,0,RegionA,499.14900044995505,540.19,468.0,0.0,0.6679,0.0,0.0,0.0,0.0,0.0,157.5,41.040999550045,499.14900044995505,499.14900044995505,0.0,0.0
balanced,多目标折中,1,RegionA,535.4235,587.87,468.31,0.0,0.6703,0.0,0.0,0.0,0.0,0.0,157.5,52.446500000000015,535.4235,535.4235,0.0,0.0
balanced,多目标折中,2,RegionA,544.32,650.0,468.61,0.0,0.6693,0.0,0.0,0.0,0.0,0.0,157.5,105.67999999999995,544.32,544.32,0.0,0.0
balanced,多目标折中,3,RegionA,544.32,722.35,468.91,0.0,0.665,0.0,0.0,0.0,0.0,0.0,157.5,178.02999999999997,544.32,544.32,0.0,0.0
balanced,多目标折中,4,RegionA,544.319999550045,800.0,469.22,0.0,0.6578,0.0,0.0,0.0,0.0,0.0,157.5,255.68000044995495,544.319999550045,544.319999550045,0.0,0.0
balanced,多目标折中,5,RegionA,544.32,877.65,469.52,0.0,0.6483,0.0,0.0,0.0,0.0,0.0,157.5,333.3299999999999,544.32,544.32,0.0,0.0
balanced,多目标折中,6,RegionA,544.320000449955,950.0,469.82,0.0,0.637,0.0,0.0,0.0,0.0,0.0,157.5,405.67999955004495,544.320000449955,544.320000449955,0.0,0.0
balanced,多目标折中,7,RegionA,544.320000449955,1012.13,723.26,0.0,0.6248,0.0,0.0,0.0,0.0,0.0,157.5,467.80999955004495,544.320000449955,544.320000449955,0.0,0.0
balanced,多目标折中,8,RegionA,544.32,1059.81,723.71,0.0,0.6126,0.0,0.0,0.0,0.0,0.0,157.5,515.4899999999999,544.32,544.32,0.0,0.0
balanced,多目标折中,9,RegionA,544.319999550045,1089.78,724.16,0.0,0.6013,0.0,0.0,0.0,0.0,0.0,157.5,545.4600004499549,544.319999550045,544.319999550045,0.0,0.0
balanced,多目标折中,10,RegionA,531.7110004499551,1100.0,724.61,0.0,0.5917,0.0,0.0,0.0,0.0,0.0,157.5,568.2889995500449,531.7110004499551,531.7110004499551,0.0,0.0
balanced,多目标折中,11,RegionA,506.1015,1089.78,725.04,0.0,0.5845,0.0,0.0,0.0,0.0,0.0,157.5,583.6785,506.1015,506.1015,0.0,0.0
balanced,多目标折中,12,RegionA,466.47899955004505,1059.81,725.48,0.0,0.5802,0.0,0.0,0.0,0.0,0.0,157.5,593.3310004499549,466.47899955004505,466.47899955004505,0.0,0.0
balanced,多目标折中,13,RegionA,443.66670000000005,1012.13,725.9,0.0,0.5791,0.0,0.0,0.0,0.0,0.0,157.5,568.4632999999999,443.6667000000001,443.66670000000005,0.0,0.0
balanced,多目标折中,14,RegionA,423.08729955004503,950.0,726.32,0.0,0.5814,0.0,0.0,0.0,0.0,0.0,157.5,526.912700449955,423.08729955004503,423.08729955004503,0.0,0.0
balanced,多目标折中,15,RegionA,379.06649999999996,877.65,726.74,0.0,0.5869,0.0,0.0,0.0,0.0,0.0,157.5,498.5835,379.06649999999996,379.06649999999996,0.0,0.0
balanced,多目标折中,16,RegionA,334.04399955004504,800.0,727.14,0.0,0.5954,0.0,0.0,0.0,0.0,0.0,157.5,465.95600044995496,334.04399955004504,334.04399955004504,0.0,0.0
balanced,多目标折中,17,RegionA,316.91249955004497,722.35,1054.92,0.0,0.6062,0.0,0.0,0.0,0.0,0.0,157.5,405.43750044995505,316.91249955004497,316.91249955004497,0.0,0.0
balanced,多目标折中,18,RegionA,299.443499550045,650.0,1055.49,0.0,0.6188,0.0,0.0,0.0,0.0,0.0,157.5,350.556500449955,299.443499550045,299.443499550045,0.0,0.0
balanced,多目标折中,19,RegionA,386.49149955004503,587.87,1056.03,0.0,0.6321,0.0,0.0,0.0,0.0,0.0,157.5,201.37850044995497,386.49149955004503,386.49149955004503,0.0,0.0
balanced,多目标折中,20,RegionA,330.884999550045,540.19,1056.56,0.0,0.6455,0.0,0.0,0.0,0.0,0.0,157.5,209.30500044995506,330.884999550045,330.884999550045,0.0,0.0
balanced,多目标折中,21,RegionA,376.12350000000004,510.22,1057.08,0.0,0.658,0.0,0.0,0.0,0.0,0.0,157.5,134.0965,376.12350000000004,376.12350000000004,0.0,0.0
balanced,多目标折中,22,RegionA,388.00349955004503,500.0,656.43,0.0,0.6687,0.0,0.0,0.0,0.0,0.0,157.5,111.99650044995497,388.00349955004503,388.00349955004503,0.0,0.0
balanced,多目标折中,23,RegionA,408.92849955004505,510.22,656.73,0.0,0.6771,0.0,0.0,0.0,0.0,0.0,157.5,101.29150044995498,408.92849955004505,408.92849955004505,0.0,0.0
balanced,多目标折中,24,RegionA,478.15650044995505,540.19,474.52,0.0,0.6825,0.0,0.0,0.0,0.0,0.0,157.5,62.03349955004501,478.15650044995505,478.15650044995505,0.0,0.0
balanced,多目标折中,25,RegionA,495.679499550045,587.87,474.72,0.0,0.6846,0.0,0.0,0.0,0.0,0.0,157.5,92.19050044995498,495.679499550045,495.679499550045,0.0,0.0
balanced,多目标折中,26,RegionA,544.320000449955,650.0,474.91,0.0,0.6833,0.0,0.0,0.0,0.0,0.0,157.5,105.67999955004495,544.320000449955,544.320000449955,0.0,0.0
balanced,多目标折中,27,RegionA,544.32,722.35,475.1,0.0,0.6787,0.0,0.0,0.0,0.0,0.0,157.5,178.02999999999997,544.32,544.32,0.0,0.0
balanced,多目标折中,28,RegionA,544.32,800.0,475.28,0.0,0.6712,0.0,0.0,0.0,0.0,0.0,157.5,255.67999999999995,544.32,544.32,0.0,0.0
balanced,多目标折中,29,RegionA,544.319999550045,877.65,475.45,0.0,0.6612,0.0,0.0,0.0,0.0,0.0,157.5,333.3300004499549,544.319999550045,544.319999550045,0.0,0.0
balanced,多目标折中,30,RegionA,544.320000449955,950.0,475.61,0.0,0.6496,0.0,0.0,0.0,0.0,0.0,157.5,405.67999955004495,544.320000449955,544.320000449955,0.0,0.0
balanced,多目标折中,31,RegionA,544.3199995500449,1012.13,731.94,0.0,0.637,0.0,0.0,0.0,0.0,0.0,157.5,467.81000044995506,544.3199995500449,544.3199995500449,0.0,0.0
balanced,多目标折中,32,RegionA,544.320000449955,1059.81,732.16,0.0,0.6245,0.0,0.0,0.0,0.0,0.0,157.5,515.4899995500449,544.320000449955,544.320000449955,0.0,0.0
balanced,多目标折中,33,RegionA,544.32,1089.78,732.37,0.0,0.6128,0.0,0.0,0.0,0.0,0.0,157.5,545.4599999999999,544.32,544.32,0.0,0.0
balanced,多目标折中,34,RegionA,535.612499550045,1100.0,732.56,0.0,0.6027,0.0,0.0,0.0,0.0,0.0,157.5,564.387500449955,535.612499550045,535.612499550045,0.0,0.0
balanced,多目标折中,35,RegionA,516.429000449955,1089.78,732.74,0.0,0.595,0.0,0.0,0.0,0.0,0.0,157.5,573.350999550045,516.429000449955,516.429000449955,0.0,0.0
balanced,多目标折中,36,RegionA,464.1975,1059.81,732.9,0.0,0.5902,0.0,0.0,0.0,0.0,0.0,157.5,595.6125,464.1975,464.1975,0.0,0.0
balanced,多目标折中,37,RegionA,439.10100044995505,1012.13,733.05,0.0,0.5887,0.0,0.0,0.0,0.0,0.0,157.5,573.028999550045,439.101000449955,439.101000449955,0.0,0.0
balanced,多目标折中,38,RegionA,422.42040000000003,950.0,733.18,0.0,0.5905,0.0,0.0,0.0,0.0,0.0,157.5,527.5796,422.4204,422.4204,0.0,0.0
balanced,多目标折中,39,RegionA,401.130900449955,877.65,733.3,0.0,0.5955,0.0,0.0,0.0,0.0,0.0,157.5,476.519099550045,401.130900449955,401.130900449955,0.0,0.0
balanced,多目标折中,40,RegionA,375.205499550045,800.0,733.4,0.0,0.6035,0.0,0.0,0.0,0.0,0.0,157.5,424.794500449955,375.205499550045,375.205499550045,0.0,0.0
balanced,多目标折中,41,RegionA,328.900500449955,722.35,1063.56,0.0,0.6138,0.0,0.0,0.0,0.0,0.0,157.5,393.449499550045,328.900500449955,328.900500449955,0.0,0.0
balanced,多目标折中,42,RegionA,289.99350044995504,650.0,1063.67,0.0,0.6258,0.0,0.0,0.0,0.0,0.0,157.5,360.00649955004496,289.99350044995504,289.99350044995504,0.0,0.0
balanced,多目标折中,43,RegionA,297.324,587.87,1063.75,0.0,0.6386,0.0,0.0,0.0,0.0,0.0,157.5,290.546,297.324,297.324,0.0,0.0
balanced,多目标折中,44,RegionA,346.34250000000003,540.19,1063.82,0.0,0.6514,0.0,0.0,0.0,0.0,0.0,157.5,193.84750000000003,346.34250000000003,346.34250000000003,0.0,0.0
balanced,多目标折中,45,RegionA,327.847500449955,510.22,1063.86,0.0,0.6633,0.0,0.0,0.0,0.0,0.0,157.5,182.372499550045,327.847500449955,327.847500449955,0.0,0.0
balanced,多目标折中,46,RegionA,416.92049955004507,500.0,660.34,0.0,0.6735,0.0,0.0,0.0,0.0,0.0,157.5,83.07950044995493,416.92049955004507,416.92049955004507,0.0,0.0
balanced,多目标折中,47,RegionA,442.7460000000001,510.22,660.33,0.0,0.6812,0.0,0.0,0.0,0.0,0.0,157.5,67.47399999999993,442.7460000000001,442.7460000000001,0.0,0.0
balanced,多目标折中,48,RegionA,472.041000449955,540.19,476.9,0.0,0.686,0.0,0.0,0.0,0.0,0.0,157.5,68.14899955004506,472.041000449955,472.041000449955,0.0,0.0
balanced,多目标折中,49,RegionA,530.401500449955,587.87,476.88,0.0,0.6876,0.0,0.0,0.0,0.0,0.0,157.5,57.46849955004495,530.401500449955,530.401500449955,0.0,0.0
balanced,多目标折中,50,RegionA,544.32,650.0,476.85,0.0,0.6857,0.0,0.0,0.0,0.0,0.0,157.5,105.67999999999995,544.32,544.32,0.0,0.0
