Scenario,Scenario_CN,Hour,Region,FacilityLoad_MW,AvailableRenewable_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,GridPurchase_MW,GridSell_MW,NetGridImport_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,Curtailment_MW,RenewableUsedTotal_MW,DirectRenewable_MW,RenewableCharge_MW,GridCharge_MW
no_storage,无储能反事实,0,RegionA,499.14900044995505,540.19,468.0,0.0,0.6679,0.0,0.0,0.0,0.0,0.0,157.5,41.040999550045,499.14900044995505,499.14900044995505,0.0,0.0
no_storage,无储能反事实,1,RegionA,535.4235,587.87,468.31,0.0,0.6703,0.0,0.0,0.0,0.0,0.0,157.5,52.446500000000015,535.4235,535.4235,0.0,0.0
no_storage,无储能反事实,2,RegionA,544.32,650.0,468.61,0.0,0.6693,0.0,0.0,0.0,0.0,0.0,157.5,105.67999999999995,544.32,544.32,0.0,0.0
no_storage,无储能反事实,3,RegionA,544.32,722.35,468.91,0.0,0.665,0.0,0.0,0.0,0.0,0.0,157.5,178.02999999999997,544.32,544.32,0.0,0.0
no_storage,无储能反事实,4,RegionA,544.319999550045,800.0,469.22,0.0,0.6578,0.0,0.0,0.0,0.0,0.0,157.5,255.68000044995495,544.319999550045,544.319999550045,0.0,0.0
no_storage,无储能反事实,5,RegionA,544.32,877.65,469.52,0.0,0.6483,0.0,0.0,0.0,0.0,0.0,157.5,333.3299999999999,544.32,544.32,0.0,0.0
no_storage,无储能反事实,6,RegionA,544.320000449955,950.0,469.82,0.0,0.637,0.0,0.0,0.0,0.0,0.0,157.5,405.67999955004495,544.320000449955,544.320000449955,0.0,0.0
no_storage,无储能反事实,7,RegionA,544.320000449955,1012.13,723.26,0.0,0.6248,0.0,0.0,0.0,0.0,0.0,157.5,467.80999955004495,544.320000449955,544.320000449955,0.0,0.0
no_storage,无储能反事实,8,RegionA,544.32,1059.81,723.71,0.0,0.6126,0.0,0.0,0.0,0.0,0.0,157.5,515.4899999999999,544.32,544.32,0.0,0.0
no_storage,无储能反事实,9,RegionA,544.319999550045,1089.78,724.16,0.0,0.6013,0.0,0.0,0.0,0.0,0.0,157.5,545.4600004499549,544.319999550045,544.319999550045,0.0,0.0
no_storage,无储能反事实,10,RegionA,531.7110004499551,1100.0,724.61,0.0,0.5917,0.0,0.0,0.0,0.0,0.0,157.5,568.2889995500449,531.7110004499551,531.7110004499551,0.0,0.0
no_storage,无储能反事实,11,RegionA,506.1015,1089.78,725.04,0.0,0.5845,0.0,0.0,0.0,0.0,0.0,157.5,583.6785,506.1015,506.1015,0.0,0.0
no_storage,无储能反事实,12,RegionA,466.47899955004505,1059.81,725.48,0.0,0.5802,0.0,0.0,0.0,0.0,0.0,157.5,593.3310004499549,466.47899955004505,466.47899955004505,0.0,0.0
no_storage,无储能反事实,13,RegionA,443.66670000000005,1012.13,725.9,0.0,0.5791,0.0,0.0,0.0,0.0,0.0,157.5,568.4632999999999,443.6667000000001,443.66670000000005,0.0,0.0
no_storage,无储能反事实,14,RegionA,423.08729955004503,950.0,726.32,0.0,0.5814,0.0,0.0,0.0,0.0,0.0,157.5,526.912700449955,423.08729955004503,423.08729955004503,0.0,0.0
no_storage,无储能反事实,15,RegionA,379.06649999999996,877.65,726.74,0.0,0.5869,0.0,0.0,0.0,0.0,0.0,157.5,498.5835,379.06649999999996,379.06649999999996,0.0,0.0
no_storage,无储能反事实,16,RegionA,334.04399955004504,800.0,727.14,0.0,0.5954,0.0,0.0,0.0,0.0,0.0,157.5,465.95600044995496,334.04399955004504,334.04399955004504,0.0,0.0
no_storage,无储能反事实,17,RegionA,316.91249955004497,722.35,1054.92,0.0,0.6062,0.0,0.0,0.0,0.0,0.0,157.5,405.43750044995505,316.91249955004497,316.91249955004497,0.0,0.0
no_storage,无储能反事实,18,RegionA,299.443499550045,650.0,1055.49,0.0,0.6188,0.0,0.0,0.0,0.0,0.0,157.5,350.556500449955,299.443499550045,299.443499550045,0.0,0.0
no_storage,无储能反事实,19,RegionA,386.49149955004503,587.87,1056.03,0.0,0.6321,0.0,0.0,0.0,0.0,0.0,157.5,201.37850044995497,386.49149955004503,386.49149955004503,0.0,0.0
no_storage,无储能反事实,20,RegionA,330.884999550045,540.19,1056.56,0.0,0.6455,0.0,0.0,0.0,0.0,0.0,157.5,209.30500044995506,330.884999550045,330.884999550045,0.0,0.0
no_storage,无储能反事实,21,RegionA,376.12350000000004,510.22,1057.08,0.0,0.658,0.0,0.0,0.0,0.0,0.0,157.5,134.0965,376.12350000000004,376.12350000000004,0.0,0.0
no_storage,无储能反事实,22,RegionA,388.00349955004503,500.0,656.43,0.0,0.6687,0.0,0.0,0.0,0.0,0.0,157.5,111.99650044995497,388.00349955004503,388.00349955004503,0.0,0.0
no_storage,无储能反事实,23,RegionA,408.92849955004505,510.22,656.73,0.0,0.6771,0.0,0.0,0.0,0.0,0.0,157.5,101.29150044995498,408.92849955004505,408.92849955004505,0.0,0.0
no_storage,无储能反事实,24,RegionA,478.15650044995505,540.19,474.52,0.0,0.6825,0.0,0.0,0.0,0.0,0.0,157.5,62.03349955004501,478.15650044995505,478.15650044995505,0.0,0.0
no_storage,无储能反事实,25,RegionA,495.679499550045,587.87,474.72,0.0,0.6846,0.0,0.0,0.0,0.0,0.0,157.5,92.19050044995498,495.679499550045,495.679499550045,0.0,0.0
no_storage,无储能反事实,26,RegionA,544.320000449955,650.0,474.91,0.0,0.6833,0.0,0.0,0.0,0.0,0.0,157.5,105.67999955004495,544.320000449955,544.320000449955,0.0,0.0
