Hour,Region,TotalLoad_MW,AvailableRE_MW,AvailableRE_Raw_MW,GridPurchase_MW,GridSell_MW,UsedRE_MW,RE_Charge_MW,GridCharge_MW,Discharge_MW,Curtailment_MW,NetImport_MW,SOC_MWh
0,RegionA,499.14900045,114.8979,540.19,484.25110045,0.0,14.897899999999993,100.0,0.0,0.0,0.0,484.25110045,250.5
1,RegionA,535.4235,119.2508,587.87,516.1727,0.0,19.2508,100.0,0.0,0.0,0.0,516.1727,343.5
2,RegionA,544.32,108.3076,650.0,443.001647311828,0.0,101.31835268817204,6.989247311827957,0.0,0.0,0.0,443.001647311828,350.0
3,RegionA,544.32,65.3184,722.35,479.00160000000005,0.0,65.3184,0.0,0.0,0.0,0.0,479.00160000000005,350.0
4,RegionA,544.31999955,65.3184,800.0,479.00159955,0.0,65.3184,0.0,0.0,0.0,0.0,479.00159955,350.0
5,RegionA,544.32,65.3184,877.65,479.00160000000005,0.0,65.3184,0.0,0.0,0.0,0.0,479.00160000000005,350.0
6,RegionA,544.3200004500001,65.3184,950.0,479.00160045000007,0.0,65.3184,0.0,0.0,0.0,0.0,479.00160045000007,350.0
7,RegionA,544.3200004500001,65.3184,1012.13,479.00160045000007,0.0,65.3184,-0.0,0.0,0.0,0.0,479.00160045000007,350.0
8,RegionA,544.32,65.3184,1059.81,479.00160000000005,0.0,65.3184,0.0,0.0,0.0,0.0,479.00160000000005,350.0
9,RegionA,544.31999955,69.5448,1089.78,474.77519955,0.0,69.5448,-0.0,0.0,0.0,0.0,474.77519955,350.0
10,RegionA,531.71100045,71.781,1100.0,459.93000045,0.0,71.781,0.0,0.0,0.0,0.0,459.93000045,350.0
11,RegionA,506.1015,71.4682,1089.78,434.6333,0.0,71.4682,0.0,0.0,0.0,0.0,434.6333,350.0
12,RegionA,466.47899955,68.097,1059.81,398.38199955,0.0,68.097,0.0,0.0,0.0,0.0,398.38199955,350.0
13,RegionA,443.6667000000001,66.0965,1012.13,377.57020000000006,0.0,66.0965,0.0,0.0,0.0,0.0,377.57020000000006,350.0
14,RegionA,423.08729955,63.4631,950.0,359.62419955,0.0,63.4631,0.0,0.0,0.0,0.0,359.62419955,350.0
15,RegionA,379.0665,56.4725,877.65,322.59399999999994,0.0,56.4725,0.0,0.0,0.0,0.0,322.59399999999994,350.0
