n_tasks,operating_cost_CNY,carbon_tCO2,mean_network_latency_ms,qos_loss,mean_wait_hour,migration_rate,realtime_on_time_rate,renewable_utilization,peak_net_import_sum_MW,deadline_violation,latency_violation,scenario,strategy,hard_pass,peak_RegionA,peak_RegionB,peak_RegionC,peak_RegionD,peak_RegionE,peak_RegionF,resource_hard_pass
2137,1340700620.0897014,1508590.6722137644,5.0,0.014506317267197005,0.014506317267197005,0.0,1.0,1.0,2568.4415995833333,0,0,baseline_local_first,local_first,True,550.0,520.0,510.0,440.58540000000005,276.96179958333335,270.8944000000001,True
2137,1336866715.169537,1506455.3771458652,27.854000935891438,4.49859616284511,4.122133832475432,0.7529246607393543,1.0,1.0,2800.0,0,0,baseline_lowest_price,lowest_price,True,550.0,520.0,510.0,510.0,370.0,340.0,True
2137,1337694477.9057176,1503483.0878463306,28.20963968179691,2.386991109031352,2.00561534861956,0.7627515208235844,1.0,1.0,2730.5854,0,0,baseline_lowest_carbon,lowest_carbon,True,550.0,520.0,510.0,440.58540000000005,370.0,340.0,True
2137,1337743076.401438,1503647.377064048,25.537201684604586,0.6172204024333178,0.3472157229761348,0.540009358914366,1.0,1.0,2730.5854,0,0,baseline_joint,joint,True,550.0,520.0,510.0,440.58540000000005,370.0,340.0,True
2137,1337743076.4014382,1503643.644412798,25.537201684604586,0.6172204024333178,0.3472157229761348,0.540009358914366,1.0,1.0,2730.5854,0,0,carbon_100,joint,True,550.0,520.0,510.0,440.58540000000005,370.0,340.0,True
2137,1337743076.4014382,1503643.072138356,25.537201684604586,0.6172204024333178,0.3472157229761348,0.540009358914366,1.0,1.0,2730.5854,0,0,carbon_90,joint,True,550.0,520.0,510.0,440.58540000000005,370.0,340.0,True
2137,1337743076.4014382,1503642.1262481855,25.537201684604586,0.6172204024333178,0.3472157229761348,0.540009358914366,1.0,1.0,2730.5854,0,0,carbon_80,joint,True,550.0,520.0,510.0,440.58540000000005,370.0,340.0,True
2137,1337743076.4014382,1503642.1262481855,25.537201684604586,0.6172204024333178,0.3472157229761348,0.540009358914366,1.0,1.0,2730.5854,0,0,carbon_70,joint,True,550.0,520.0,510.0,440.58540000000005,370.0,340.0,True
2137,1211821247.9558873,1636913.7380523162,25.706130088909685,0.6256434253626579,0.34955545156761814,0.5521759475900796,1.0,1.0,2620.0,0,0,price_peak_valley_amplify,joint,True,550.0,520.0,510.0,330.0,370.0,340.0,True
2137,1450577887.4299693,1456845.64954784,25.496022461394478,0.6085634066448291,0.3401965372016846,0.5367337388862892,1.0,1.0,1907.6997800233335,0,0,price_flat,joint,True,476.05860000000007,449.20800045000004,438.31010000000003,230.90924624000007,170.8872,142.32663333333335,True
2137,1456895554.6878812,1475293.1224001143,25.537201684604586,0.6172204024333178,0.3472157229761348,0.540009358914366,1.0,1.0,2695.73829376,0,0,price_carbon_linked,joint,True,550.0,520.0,510.0,405.73829376000003,370.0,340.0,True
2137,1609222408.284611,1658463.0455218432,25.537201684604586,0.6172204024333178,0.3472157229761348,0.540009358914366,1.0,1.0,2800.0,0,0,re_minus20,joint,True,550.0,520.0,510.0,510.0,370.0,340.0,True
2137,1100448014.0797098,1397299.6189645494,25.537201684604586,0.6172204024333178,0.3472157229761348,0.540009358914366,1.0,0.9949550318854057,2393.7720732123475,0,0,re_plus20,joint,True,550.0,520.0,503.63571999999994,289.3863994623474,261.6041870833333,269.14576666666676,True
